
> prediction-market-starter-kit@0.1.0 bot:realtime /Users/yuping/Downloads/git/prediction-market-starter-kit
> tsx bot/realtime-daemon.ts

[2026-03-30 08:56:08] Realtime Bot Daemon starting
  Scan interval:  1 second
  Auto-tune:      every 1 hour
  Press Ctrl+C to stop

  New wallet: 0xC114Aa4216D4e17EaBF5aD3Cd6866CD58d42AC5b
[2026-03-30 09:17:53] Cycle #123: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:04] Cycle #124: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:14] Cycle #125: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:25] Cycle #126: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:36] Cycle #127: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:46] Cycle #128: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:18:57] Cycle #129: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:19:07] Cycle #130: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:19:18] Cycle #131: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:19:29] Cycle #132: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:19:39] Cycle #133: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:19:50] Cycle #134: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:00] Cycle #135: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:11] Cycle #136: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:22] Cycle #137: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:32] Cycle #138: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:43] Cycle #139: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:20:53] Cycle #140: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:21:04] Cycle #141: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
